,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
115,bK04X03K,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
116,bK04X51D,S,,,,,,,,1e-30,0,,,
117,bK05B28G,Sq,,,,,,,,1e-30,0,,,
118,bK05E70R,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
119,bK05E94H,S,,,,,,,,1e-30,0,,,
120,bK05E95R,Sr,,,,,,,,1e-30,0,,,
121,bK05F00G,Sk,,,,,,,,1e-30,0,,,
122,bK05F00J,Ld,,,,,,,,1e-30,0,,,
123,bK05H04B,Q,,,,,,,,,,,13.315,
124,bK05K00A,X,,,,88,,10,0.5,,,,,
125,bK05O03H,Sr,,,,,,,,1e-30,0,,,
126,bK05R03K,X,,,,88,,10,0.5,,,,,
127,bK05T45F,S,,,,,,,,1e-30,0,,,
128,bK05T50G,Sq,,,,,,,,1e-30,0,,,
129,bK05U05G,S,,,,,,,,1e-30,0,,,
130,bK05W00A,S,,,,,,,,1e-30,0,,,
131,bK05Y01Y,S,,,,,,,,1e-30,0,,,
132,bK05Y37A,V,,,,,,,,1e-30,0,,,
133,bK06B07X,S,,,,,,,,1e-30,0,,,
134,bK06B55J,Sq,,,,,,,,1e-30,0,,,
135,bK06BE7Z,Xc,,,,88,,10,0.5,,,,,0.005
136,bK06C00K,L,,,,,,,,1e-30,0,7,,
137,bK06C00T,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
138,bK06C09L,Sq,,,,,,,,1e-30,0,,,
139,bK06D00X,X,,,,88,,10,0.5,,,,,
140,bK06F36H,S,,,,,,,,1e-30,0,,,
141,bK06G00B,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
142,bK06G01B,Sq,,,,,,,,1e-30,0,,,
143,bK06H00C,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
144,bK06H05Z,S,,,,,,,,1e-30,0,,,
145,bK06H50U,Xk,,,,88,,10,0.5,,,,,
146,bK06H50W,Sq,,,,,,,,1e-30,0,,,
147,bK06Q89V,L,,,,,,,,1e-30,0,7,,
148,bK06R01J,Ch,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
149,bK06S05Y,Sk,,,,,,,,1e-30,0,,,
150,bK06S19P,X,,,,88,,10,0.5,,,,,
151,bK06V13P,V,,,,,,,,1e-30,0,,,
