,id,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
179,bK07Y56T,A,232833971.81431752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,bK08A04G,S,37839853.940067016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783985394006702e-23,0.0,0.0,0.0,0.0
181,bK08B02T,Q,65984073.913983986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878577944.1646967,0.0
182,bK08CB9K,V,51195714.12465009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1195714124650096e-23,0.0,0.0,0.0,0.0
183,bK08D00B,S,8637760.280996356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.637760280996357e-24,0.0,0.0,0.0,0.0
184,bK08E85J,Sq,22105199.76459157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2105199764591572e-23,0.0,0.0,0.0,0.0
185,bK08F00O,Sq,306455489.93564576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0645548993564576e-22,0.0,0.0,0.0,0.0
186,bK08F06X,S,25785699.977342892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5785699977342893e-23,0.0,0.0,0.0,0.0
187,bK08F07J,V,6861504.531555785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.861504531555786e-24,0.0,0.0,0.0,0.0
188,bK08J00E,X,16463367.893103462,0.0,0.0,0.0,1448776374.5931046,0.0,164633678.93103462,8231683.946551731,0.0,0.0,0.0,0.0,0.0
189,bK08L02G,Sq,19092306.127886824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9092306127886827e-23,0.0,0.0,0.0,0.0
190,bK08L02H,Xk,116577803.01901436,0.0,0.0,0.0,10258846665.673264,0.0,1165778030.1901436,58288901.50950718,0.0,0.0,0.0,0.0,0.0
191,bK08O10N,Cb,19035487.993810523,4473339.678545473,19035.487993810522,19035.487993810522,1579945.5034862736,1903548.7993810524,133248.41595667368,19035.487993810522,0.0,0.0,0.0,0.0,0.0
192,bK08P02G,Sq,531258677.9527131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.312586779527131e-22,0.0,0.0,0.0,0.0
193,bK08P04W,Sq,1062294588.8860124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0622945888860125e-21,0.0,0.0,0.0,0.0
194,bK08R01H,D,359255091.2097955,0.0,0.0,0.0,0.0,8262.867097825296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,bK08S00A,X,49457139.57004211,0.0,0.0,0.0,4352228282.163706,0.0,494571395.7004211,24728569.785021055,0.0,0.0,0.0,0.0,0.0
196,bK08T03X,K,14497420.385015614,3406893.790478669,14497.420385015615,14497.420385015615,1203285.891956296,1449742.0385015616,101481.9426951093,14497.420385015615,0.0,0.0,0.0,0.0,0.0
197,bK08U03L,S,14681713.381677296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4681713381677296e-23,0.0,0.0,0.0,0.0
198,bK08U95D,S,11046555.486055145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1046555486055146e-23,0.0,0.0,0.0,0.0
199,bK08W94Y,Sq,11390578.541118223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1390578541118224e-23,0.0,0.0,0.0,0.0
200,bK09B00G,Sq,12908902.520435315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2908902520435316e-23,0.0,0.0,0.0,0.0
201,bK09B02F,S,7438611.683181761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.438611683181762e-24,0.0,0.0,0.0,0.0
202,bK09B02W,Sr,22248400.59127522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224840059127522e-23,0.0,0.0,0.0,0.0
203,bK09C00V,Sk,66785579.96184826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.678557996184827e-23,0.0,0.0,0.0,0.0
204,bK09D04N,K,3236244.5863953815,760517.4778029146,3236.2445863953817,3236.2445863953817,268608.3006708167,323624.45863953815,22653.71210476767,3236.2445863953817,0.0,0.0,0.0,0.0,0.0
205,bK09D12C,Sq,467705146.4526894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.677051464526895e-22,0.0,0.0,0.0,0.0
206,bK09D43A,Sq,45308615.77378726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5308615773787264e-23,0.0,0.0,0.0,0.0
207,bK09F04X,Ld,14487326.836748125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4487326836748127e-23,0.0,0.0,0.0,0.0
208,bK09F32S,Sq,8375484.506009595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375484506009595e-24,0.0,0.0,0.0,0.0
209,bK09H00C,Sr,38257212.15762938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8257212157629384e-23,0.0,0.0,0.0,0.0
210,bK09H60E,C,5169277.419559788,1214780.19359655,5169.277419559788,5169.277419559788,858100.0516469248,1033855.4839119576,72369.88387383704,10338.554839119575,0.0,0.0,0.0,0.0,0.0
211,bK09K01Y,Xe,305758094.742923,0.0,0.0,0.0,26906712337.377228,0.0,3057580947.42923,152879047.3714615,0.0,0.0,0.0,0.0,0.0
212,bK09O05S,Q,58813750.30171205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783105085.267296,0.0
213,bK09P00D,Sr,75967674.54462211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.596767454462212e-23,0.0,0.0,0.0,0.0
214,bK09Q34E,Sq,175560382.22969612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7556038222969613e-22,0.0,0.0,0.0,0.0
215,bK09R00H,X,260275462.75893626,0.0,0.0,0.0,22904240722.786392,0.0,2602754627.5893626,130137731.37946813,0.0,0.0,0.0,0.0,0.0
216,bK09R01T,Sq,132687847.42470147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3268784742470148e-22,0.0,0.0,0.0,0.0
217,bK09S18J,X,87967282.7536122,0.0,0.0,0.0,7741120882.317874,0.0,879672827.5361221,43983641.3768061,0.0,0.0,0.0,0.0,0.0
218,bK09T00P,S,175351092.3992133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7535109239921334e-22,0.0,0.0,0.0,0.0
219,bK09U19Y,B,118594334.32330282,27869668.56597616,118594.33432330283,118594.33432330283,1185943343.2330282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,bK09U87Z,S,6882456.964210741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.882456964210742e-24,0.0,0.0,0.0,0.0
221,bK09WA5M,S,403942733.2380881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.039427332380881e-22,0.0,0.0,0.0,0.0
222,bK09WA6C,S,12529860.010480009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252986001048001e-23,0.0,0.0,0.0,0.0
223,bK09Y00F,S,38146000.03349781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8146000033497814e-23,0.0,0.0,0.0,0.0
